HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
53.665,59.6508,17.4696,0.0248,23.2933,64.2052,1.935,55.7264,55.0
23.595,61.0009,17.5506,0.0248,21.3097,65.9154,1.8988,54.9163,55.0
1.315,59.7408,17.4342,0.0245,23.568,64.5653,1.935,54.9163,55.0
78.655,59.7408,17.585,0.0248,22.6219,64.5653,1.8908,54.9163,55.0
0.0,59.7408,17.5506,0.0248,23.1712,64.5653,1.9269,54.9163,55.0
49.64,59.7408,17.5506,0.0248,23.7511,64.5653,1.943,55.5464,55.0
34.69,60.7309,17.6315,0.0242,21.1266,65.7894,1.8988,55.5464,55.0
0.0,60.0108,17.6315,0.0231,22.9881,64.6373,1.943,55.5464,55.0
85.49,60.0108,17.5941,0.0246,22.9881,64.6373,1.8587,54.5563,55.0
0.0,60.0108,17.4951,0.0242,22.9881,64.6373,1.939,55.2763,55.0
31.925,60.0108,17.5548,0.0246,24.8497,64.6373,1.943,54.6463,55.0
23.595,61.0909,17.6741,0.024,22.6524,65.7894,1.9149,55.2763,55.0
0.0,60.0108,17.5941,0.0251,24.5445,64.6013,1.951,54.6463,55.0
74.97,60.6409,17.5941,0.022,24.0257,64.6013,1.8828,54.6463,55.0
0.0,60.6409,17.6315,0.0213,25.1243,65.2673,1.931,55.9244,55.0
33.85,60.6409,17.7124,0.0239,26.8028,64.3672,1.943,55.9244,55.0
64.08,61.4689,18.1149,0.0239,25.1549,65.4293,1.8908,55.9244,55.0
12.875,61.4689,18.2449,0.0239,25.8568,65.4293,1.947,54.1962,55.0
30.685,60.7309,18.4815,0.0243,26.7113,64.3672,1.947,55.2763,55.0
57.535,62.009,18.6232,0.0243,24.7276,65.6274,1.8908,55.2763,55.0
1.37,62.009,18.8304,0.0236,24.7276,64.7993,1.943,56.1044,55.0
32.495,62.009,18.9117,0.0243,25.2159,64.7993,1.947,54.7363,55.0
28.48,63.0171,18.9328,0.0239,22.1947,65.9154,1.9069,53.8362,55.0
0.0,62.189,18.65,0.0228,22.1947,64.7993,1.943,53.8362,55.0
55.63,62.189,18.65,0.0217,21.9505,64.7993,1.931,56.1044,55.0
2.59,63.6472,18.5842,0.0222,19.0514,65.6274,1.9229,56.1044,55.0
