HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
83.775,64.4753,17.135,0.025,0.0338,11.6825,69.2097,61.0282,2.3123,56.4644,58.0
86.42,62.9271,17.135,0.025,0.033,13.7882,67.1755,61.0282,2.3525,59.0927,58.0
29.365,65.1053,17.2405,0.025,0.0342,12.0487,69.4077,61.0282,2.3525,56.5545,58.0
100.0,63.8272,17.3988,0.025,0.0358,13.5441,67.9676,61.0282,2.3043,59.2727,58.0
12.11,64.8353,17.3109,0.025,0.0352,13.7272,68.7237,61.0282,2.3966,56.9145,58.0
100.0,64.8353,17.4155,0.025,0.0356,12.8422,68.7237,61.0282,2.3083,59.0027,58.0
14.19,64.8353,17.52,0.025,0.0356,13.2694,68.7237,61.0282,2.3886,56.8245,58.0
79.34,64.8353,17.729,0.025,0.0356,12.598,68.7237,61.0282,2.3244,58.6427,58.0
99.915,63.2871,17.7813,0.025,0.0356,14.9479,67.6076,61.0282,2.3123,57.0945,58.0
29.585,64.4753,17.689,0.025,0.0356,14.3985,68.4176,61.0282,2.3846,59.6508,58.0
84.685,64.4753,17.6992,0.025,0.0349,13.7882,69.1557,61.0282,2.3123,56.6445,58.0
96.325,62.5491,17.8735,0.025,0.0344,17.6029,67.5716,61.0282,2.3123,59.2727,58.0
36.51,63.6472,18.0581,0.025,0.0344,18.0606,68.6517,61.0282,2.3926,56.4644,58.0
89.83,63.6472,18.4615,0.025,0.0324,18.3963,68.6517,61.0282,2.3083,58.0126,58.0
100.0,61.829,18.4272,0.025,0.0336,21.9364,67.4995,61.0282,2.3565,59.0927,58.0
20.63,63.3771,18.2195,0.025,0.0355,20.9903,69.1557,61.0282,2.3966,56.3744,58.0
100.0,62.189,18.0741,0.025,0.0355,22.8519,69.1557,61.0282,2.3324,57.4545,58.0
19.95,62.189,18.1149,0.025,0.0341,24.4083,68.2016,61.0282,2.4047,59.0927,58.0
100.0,62.9271,18.0765,0.025,0.035,24.4083,68.9217,61.0282,2.3404,59.0927,58.0
51.625,61.829,18.1171,0.025,0.035,26.3004,67.3735,61.0282,2.4047,56.8245,58.0
46.255,63.2871,18.0738,0.025,0.0336,23.4622,69.2457,61.0282,2.3565,56.8245,58.0
100.0,62.5491,17.9496,0.025,0.0345,24.2557,69.2457,61.0282,2.3163,57.5446,58.0
39.45,62.5491,17.9496,0.025,0.0324,25.5985,67.9676,61.0282,2.4127,59.4527,58.0
59.24,63.1971,18.3223,0.025,0.0355,23.4928,69.3537,61.0282,2.3525,58.3726,58.0
100.0,62.189,18.3223,0.025,0.0349,24.9576,68.3276,61.0282,2.3123,56.4644,58.0
